expected, output, measured
10,0.00998747,10.0344
10,0.0100091,10.0344
10,0.0100307,10.0345
10,0.00999511,10.0345
10,0.00995951,10.0345
10,0.00998112,10.0345
10,0.0100027,10.0345
10,0.0100244,10.0345
10,0.00998877,10.0346
10,0.0100104,10.0346
10,0.00997478,10.0346
10,0.0099964,10.0346
10,0.00996082,10.0346
10,0.00998244,10.0346
10,0.0100041,10.0347
10,0.0100257,10.0347
10,0.00999013,10.0347
10,0.00995456,10.0347
10,0.00997621,10.0347
10,0.0110205,10.0347
10,0.00938981,10.0347
10,0.00975468,10.0347
10,0.00989074,10.0347
10,0.00996963,10.0348
10,0.00993407,10.0348
10,0.00995578,10.0348
10,0.00997748,10.0348
10,0.00999921,10.0348
10,0.00996371,10.0348
10,0.00998545,10.0348
10,0.0100072,10.0348
10,0.00997174,10.0348
10,0.00999353,10.0348
10,0.00995813,10.0348
10,0.00997994,10.0348
10,0.0100018,10.0348
10,0.00996638,10.0348
10,0.00998825,10.0348
10,0.00995293,10.0348
10,0.00997483,10.0348
10,0.00999676,10.0348
10,0.00996147,10.0348
10,0.00998343,10.0348
10,0.00994818,10.0348
10,0.00997018,10.0348
10,0.00999221,10.0348
10,0.00995705,10.0348
10,0.00997913,10.0348
10,0.0100012,10.0348
10,0.0099661,10.0348
10,0.0110295,10.0348
10,0.00932346,10.0348
10,0.00974607,10.0347
10,0.00982545,10.0347
10,0.00996212,10.0347
10,0.00992713,10.0347
10,0.00994941,10.0347
10,0.00997172,10.0347
10,0.00999407,10.0347
10,0.00995922,10.0347
10,0.00998163,10.0347
10,0.00994686,10.0346
10,0.00996933,10.0346
10,0.00993462,10.0346
10,0.00995714,10.0346
10,0.00997971,10.0346
10,0.0099451,10.0346
10,0.00996773,10.0345
10,0.00999041,10.0345
10,0.00995588,10.0345
10,0.00992141,10.0345
10,0.00994419,10.0345
10,0.009967,10.0344
10,0.00998986,10.0344
10,0.00995552,10.0344
10,0.00997845,10.0344
10,0.00994422,10.0344
10,0.00996722,10.0343
10,0.00993306,10.0343
10,0.00995616,10.0343
10,0.0099793,10.0343
10,0.0109882,10.0342
10,0.00933873,10.0342
10,0.00970518,10.0342
10,0.00984285,10.0342
10,0.0099234,10.0341
10,0.00994676,10.0341
10,0.00991296,10.0341
10,0.00993643,10.0341
10,0.00995996,10.034
10,0.0099263,10.034
10,0.00994992,10.034
10,0.00997358,10.0339
10,0.00994007,10.0339
10,0.00996381,10.0339
10,0.0099304,10.0338
10,0.00995426,10.0338
10,0.00992095,10.0338
10,0.00994491,10.0337
10,0.00996894,10.0337
10,0.00993578,10.0337
10,0.00995988,10.0336
10,0.00992682,10.0336
10,0.00995105,10.0336
10,0.00991813,10.0335
10,0.00994246,10.0335
10,0.00996687,10.0334
10,0.00993409,10.0334
10,0.0099586,10.0334
10,0.00992592,10.0333
10,0.00995054,10.0333
10,0.00991801,10.0332
10,0.0109709,10.0332
10,0.00933779,10.0332
10,0.00970583,10.0331
10,0.00984512,10.0331
10,0.00987006,10.033
10,0.00989508,10.033
10,0.00992014,10.0329
10,0.00994528,10.0329
10,0.00997049,10.0328
10,0.00993853,10.0328
10,0.00990664,10.0328
10,0.00993205,10.0327
10,0.00995751,10.0327
10,0.00992582,10.0326
10,0.00989419,10.0326
10,0.00991985,10.0325
10,0.00994556,10.0325
10,0.00991414,10.0324
10,0.00994001,10.0324
10,0.00996593,10.0323
10,0.00993472,10.0322
10,0.00990356,10.0322
10,0.0099297,10.0321
10,0.00995589,10.0321
10,0.00992495,10.032
10,0.00989409,10.032
10,0.0099205,10.0319
10,0.00994701,10.0319
10,0.00991634,10.0318
10,0.00994299,10.0318
10,0.00991246,10.0317
10,0.0109365,10.0316
10,0.00933638,10.0316
10,0.00964928,10.0315
10,0.00984789,10.0315
10,0.00987493,10.0314
10,0.00990205,10.0314
10,0.00992927,10.0313
10,0.00989935,10.0312
10,0.00992674,10.0312
10,0.00989698,10.0311
10,0.0099245,10.031
10,0.00995211,10.031
10,0.0099226,10.0309
10,0.00989315,10.0308
10,0.00992098,10.0308
10,0.00994891,10.0307
10,0.00991971,10.0306
10,0.00989057,10.0306
10,0.00991876,10.0305
10,0.00988982,10.0304
10,0.00991816,10.0304
10,0.00994658,10.0303
10,0.00991787,10.0302
10,0.00988926,10.0302
10,0.00991794,10.0301
10,0.00994669,10.03
10,0.00991832,10.03
10,0.00989005,10.0299
10,0.00991907,10.0298
10,0.00989097,10.0297
10,0.00992016,10.0297
10,0.0108433,10.0296
10,0.0093491,10.0295
10,0.00972173,10.0295
10,0.00980845,10.0294
10,0.00989528,10.0293
10,0.00986777,10.0292
10,0.00989758,10.0292
10,0.00992746,10.0291
10,0.00990023,10.029
10,0.0099303,10.0289
10,0.00990326,10.0289
10,0.00987632,10.0288
10,0.00990668,10.0287
10,0.00987989,10.0286
10,0.00991044,10.0285
10,0.00994109,10.0285
10,0.0099146,10.0284
10,0.0098882,10.0283
10,0.00991912,10.0282
10,0.0098929,10.0281
10,0.00992402,10.0281
10,0.00989802,10.028
10,0.00987211,10.0279
10,0.0099035,10.0278
10,0.009935,10.0277
10,0.0099094,10.0276
10,0.00988388,10.0276
10,0.00991566,10.0275
10,0.00989034,10.0274
10,0.0098651,10.0273
10,0.0098972,10.0272
10,0.0108198,10.0271
10,0.00933196,10.0271
10,0.00970758,10.027
10,0.00979723,10.0269
10,0.00988702,10.0268
10,0.00986247,10.0267
10,0.00989525,10.0266
10,0.00992815,10.0265
10,0.00990392,10.0264
10,0.0098798,10.0263
10,0.009913,10.0262
10,0.00988907,10.0262
10,0.00986526,10.0261
10,0.00989876,10.026
10,0.00993238,10.0259
10,0.0099089,10.0258
10,0.00988551,10.0257
10,0.00986222,10.0256
10,0.00989627,10.0255
10,0.00987319,10.0254
10,0.00990745,10.0253
10,0.00988459,10.0252
10,0.00991905,10.0251
10,0.00989641,10.025
10,0.00987389,10.0249
10,0.00990869,10.0248
10,0.00988636,10.0247
10,0.00992138,10.0246
10,0.00989928,10.0246
10,0.00987728,10.0245
10,0.0098554,10.0244
10,0.0107074,10.0243
10,0.00941116,10.0242
10,0.00967561,10.0241
10,0.00982577,10.024
10,0.00986165,10.0239
10,0.00989763,10.0238
10,0.00987652,10.0237
10,0.00991276,10.0236
10,0.00989188,10.0235
10,0.0098711,10.0234
10,0.00990768,10.0233
10,0.00988713,10.0232
10,0.00986669,10.0231
10,0.00990359,10.023
10,0.00988341,10.0229
10,0.00986333,10.0227
10,0.00990058,10.0226
10,0.00988071,10.0225
10,0.00986097,10.0224
10,0.00989856,10.0223
10,0.00987906,10.0222
10,0.00991689,10.0221
10,0.00989763,10.022
10,0.00987848,10.0219
10,0.00985943,10.0218
10,0.00989774,10.0217
10,0.00987894,10.0216
10,0.00986027,10.0215
10,0.00989892,10.0214
10,0.00988047,10.0213
10,0.00986212,10.0212
10,0.010632,10.0211
10,0.00942504,10.0209
10,0.00975027,10.0208
10,0.0097896,10.0207
10,0.00988629,10.0206
10,0.00986867,10.0205
10,0.00985116,10.0204
10,0.00989101,10.0203
10,0.00987376,10.0202
10,0.00985661,10.0201
10,0.00989683,10.02
10,0.00987993,10.0198
10,0.00986315,10.0197
10,0.00990373,10.0196
10,0.0098872,10.0195
10,0.00987078,10.0194
10,0.00991173,10.0193
10,0.00983834,10.0192
10,0.00987952,10.0191
10,0.00986361,10.0189
10,0.00990504,10.0188
10,0.00988939,10.0187
10,0.00987385,10.0186
10,0.00985844,10.0185
10,0.00990035,10.0184
10,0.00988519,10.0183
10,0.00987014,10.0181
10,0.00985521,10.018
10,0.00989765,10.0179
10,0.00988298,10.0178
10,0.00986843,10.0177
10,0.0105461,10.0176
10,0.00949618,10.0174
10,0.00971082,10.0173
10,0.00981117,10.0172
10,0.00985447,10.0171
10,0.00984067,10.017
10,0.0098842,10.0169
10,0.00987067,10.0167
10,0.00991447,10.0166
10,0.00984395,10.0165
10,0.00988802,10.0164
10,0.00987499,10.0163
10,0.00986207,10.0161
10,0.00990653,10.016
10,0.00989389,10.0159
10,0.00988136,10.0158
10,0.00986899,10.0157
10,0.0098567,10.0155
10,0.00984457,10.0154
10,0.00988978,10.0153
10,0.00987791,10.0152
10,0.00986617,10.0151
10,0.00985455,10.0149
10,0.00990027,10.0148
10,0.00988892,10.0147
10,0.00987769,10.0146
10,0.00986659,10.0144
10,0.00985561,10.0143
10,0.009902,10.0142
10,0.00989129,10.0141
10,0.0098807,10.014
10,0.0104005,10.0138
10,0.00951643,10.0137
10,0.00973503,10.0136
10,0.00983937,10.0135
10,0.00982942,10.0133
10,0.00987682,10.0132
10,0.00986715,10.0131
10,0.0098576,10.013
10,0.00990542,10.0128
10,0.00989613,10.0127
10,0.00988698,10.0126
10,0.00987796,10.0125
10,0.00986907,10.0123
10,0.00986033,10.0122
10,0.00985171,10.0121
10,0.00984322,10.012
10,0.00989207,10.0118
10,0.00988383,10.0117
10,0.00987572,10.0116
10,0.00986776,10.0115
10,0.00985993,10.0113
10,0.00985222,10.0112
10,0.00990186,10.0111
10,0.00989443,10.011
10,0.00988713,10.0108
10,0.00987996,10.0107
10,0.00987292,10.0106
10,0.009866,10.0105
